Year,Contestant,Original script,Rank,Award
1978,Witold Mizerski,Witold Mizerski,4,Gold medal
1978,Michał Pawlak,Michał Pawlak,8,Silver medal
1978,Slawomir Cybulski,Slawomir Cybulski,11,Silver medal
1978,Jaroslaw Kostrowicki,Jaroslaw Kostrowicki,29,Bronze medal
1977,Witold Mizerski,Witold Mizerski,9,Silver medal
1977,Mirosław Goliński,Mirosław Goliński,17,Silver medal
1977,Marek Orlik,Marek Orlik,23,Bronze medal
1977,Bogusław Łaguna,Bogusław Łaguna,25,Bronze medal
1976,Tomasz Grzybowski,Tomasz Grzybowski,2,1st Prize
1976,Ryszard Świeboda,Ryszard Świeboda,8,2nd Prize
1976,Witold Mizerski,Witold Mizerski,15,2nd Prize
1976,Stanislaw Pikul,Stanislaw Pikul,,Participant
1975,Tomasz Grzybowski,Tomasz Grzybowski,4,2nd Prize
1975,Andrzej Krześniak,Andrzej Krześniak,7,3rd Prize
1975,Adam Marczewski,Adam Marczewski,9,3rd Prize
1975,Henryk Trzcina,Henryk Trzcina,19,3rd Prize
1974,Halina Pietras,Halina Pietras,10,3rd Prize
1974,Paweł Pawłowicz,Paweł Pawłowicz,10,3rd Prize
1974,Włodzimierz Kuśmierczuk,Włodzimierz Kuśmierczuk,14,Honorable mention
1974,Marek Kosmulski,Marek Kosmulski,,Participant
1973,Maciej Gonet,Maciej Gonet,1,1st Prize
1973,Janusz Zachara,Janusz Zachara,2,2nd Prize
1973,Witold Danikiewicz,Witold Danikiewicz,6,3rd Prize
1973,Pawel Lipka,Pawel Lipka,11,3rd Prize
1972,Brzózka Zbigniew,Brzózka Zbigniew,2,2nd Prize
1972,Gonet Maciej,Gonet Maciej,3,3rd Prize
1972,Witold Danikiewicz,Witold Danikiewicz,,Participant
1972,Marek Kosmulski,Marek Kosmulski,,Participant
1970,Elżbieta Trybuchowska,Elżbieta Trybuchowska,,Participant
1970,Jerzy Borycki,Jerzy Borycki,,Participant
1970,Janusz Siwiec,Janusz Siwiec,,Participant
1970,Janusz Tunia,Janusz Tunia,,Participant
1969,Jolanta Słomińska,Jolanta Słomińska,2,Silver medal
1969,Barbara Gałęziowska,Barbara Gałęziowska,2,Silver medal
1969,Roman Łukaszewicz,Roman Łukaszewicz,3,Bronze medal
1969,Stanisław Szymaszek,Stanisław Szamaszek,,Participant
1969,Marek Frankiewicz,Marek Frankiewicz,,Participant
1968,Marek Roterman,Marek Roterman,1,Gold medal
1968,Adam Niesłochowski,Adam Niesłochowski,2,Silver medal
1968,Janusz Daroszewski,Janusz Daroszewski,2,Silver medal
1968,Janusz Lusztyk,Janusz Lusztyk,3,Bronze medal
1968,Ryszard Różak,Ryszard Różak,3,Bronze medal
1968,Józef Rokicki,Józef Rokicki,,Participant
